threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,fpr,false_alarms_per_day
0.25499999999999995,136,93,83,3865,0.5938864628820961,0.6210045662100456,0.6071428571428572,0.9578644960497965,0.023496715512885295,0.5639211723092471
0.25999999999999995,136,92,83,3866,0.5964912280701754,0.6210045662100456,0.6085011185682326,0.9581039023222409,0.023244062657908033,0.5578575037897928
0.26499999999999996,135,90,84,3868,0.6,0.6164383561643836,0.6081081081081081,0.9583433085946852,0.022738756947953513,0.5457301667508843
0.26999999999999996,134,89,85,3869,0.600896860986547,0.6118721461187214,0.6063348416289591,0.9583433085946852,0.02248610409297625,0.5396664982314301
0.27499999999999997,133,89,86,3869,0.5990990990990991,0.6073059360730594,0.6031746031746033,0.9581039023222409,0.02248610409297625,0.5396664982314301
0.27999999999999997,133,88,86,3870,0.6018099547511312,0.6073059360730594,0.6045454545454546,0.9583433085946852,0.02223345123799899,0.5336028297119757
0.285,133,87,86,3871,0.6045454545454545,0.6073059360730594,0.6059225512528473,0.9585827148671295,0.021980798383021728,0.5275391611925215
0.29,133,84,86,3874,0.6129032258064516,0.6073059360730594,0.6100917431192661,0.9593009336844626,0.021222839818089943,0.5093481556341586
0.295,132,83,87,3875,0.6139534883720931,0.6027397260273972,0.608294930875576,0.9593009336844626,0.02097018696311268,0.5032844871147044
0.3,131,80,88,3878,0.6208530805687204,0.5981735159817352,0.6093023255813953,0.9597797462293512,0.0202122283981809,0.4850934815563416
0.30499999999999994,131,79,88,3879,0.6238095238095238,0.5981735159817352,0.6107226107226107,0.9600191525017956,0.01995957554320364,0.4790298130368873
0.30999999999999994,131,74,88,3884,0.6390243902439025,0.5981735159817352,0.6179245283018867,0.9612161838640172,0.01869631126831733,0.4487114704396159
0.31499999999999995,131,73,88,3885,0.6421568627450981,0.5981735159817352,0.6193853427895982,0.9614555901364615,0.018443658413340072,0.44264780192016173
0.31999999999999995,131,70,88,3888,0.6517412935323383,0.5981735159817352,0.6238095238095238,0.9621738089537946,0.017685699848408287,0.4244567963617989
0.32499999999999996,131,70,88,3888,0.6517412935323383,0.5981735159817352,0.6238095238095238,0.9621738089537946,0.017685699848408287,0.4244567963617989
0.32999999999999996,131,69,88,3889,0.655,0.5981735159817352,0.6252983293556086,0.9624132152262389,0.017433046993431026,0.4183931278423446
0.33499999999999996,130,65,89,3893,0.6666666666666666,0.593607305936073,0.6280193236714976,0.9631314340435719,0.016422435573521982,0.3941384537645276
0.33999999999999997,130,62,89,3896,0.6770833333333334,0.593607305936073,0.6326034063260341,0.963849652860905,0.015664477008590198,0.37594744820616477
0.345,130,62,89,3896,0.6770833333333334,0.593607305936073,0.6326034063260341,0.963849652860905,0.015664477008590198,0.37594744820616477
0.35,130,59,89,3899,0.6878306878306878,0.593607305936073,0.6372549019607843,0.964567871678238,0.014906518443658413,0.35775644264780193
0.355,130,57,89,3901,0.6951871657754011,0.593607305936073,0.6403940886699507,0.9650466842231267,0.014401212733703891,0.34562910560889337
0.35999999999999993,130,54,89,3904,0.7065217391304348,0.593607305936073,0.6451612903225805,0.9657649030404597,0.013643254168772108,0.3274381000505306
0.36499999999999994,129,52,90,3906,0.712707182320442,0.589041095890411,0.645,0.966004309312904,0.013137948458817585,0.31531076301162203
0.36999999999999994,129,51,90,3907,0.7166666666666667,0.589041095890411,0.6466165413533834,0.9662437155853484,0.012885295603840323,0.30924709449216775
0.37499999999999994,128,51,91,3907,0.7150837988826816,0.5844748858447488,0.64321608040201,0.966004309312904,0.012885295603840323,0.30924709449216775
0.37999999999999995,128,48,91,3910,0.7272727272727273,0.5844748858447488,0.6481012658227848,0.966722528130237,0.01212733703890854,0.29105608893380497
0.38499999999999995,127,48,92,3910,0.7257142857142858,0.5799086757990868,0.6446700507614214,0.9664831218577927,0.01212733703890854,0.29105608893380497
0.38999999999999996,125,47,94,3911,0.7267441860465116,0.5707762557077626,0.639386189258312,0.9662437155853484,0.011874684183931278,0.2849924204143507
0.39499999999999996,125,46,94,3912,0.7309941520467836,0.5707762557077626,0.6410256410256411,0.9664831218577927,0.011622031328954016,0.2789287518948964
0.39999999999999997,125,45,94,3913,0.7352941176470589,0.5707762557077626,0.6426735218508998,0.966722528130237,0.011369378473976757,0.27286508337544213
0.40499999999999997,124,44,95,3914,0.7380952380952381,0.5662100456621004,0.6408268733850129,0.966722528130237,0.011116725618999495,0.26680141485598785
0.4099999999999999,124,44,95,3914,0.7380952380952381,0.5662100456621004,0.6408268733850129,0.966722528130237,0.011116725618999495,0.26680141485598785
0.4149999999999999,122,41,97,3917,0.7484662576687117,0.5570776255707762,0.6387434554973822,0.9669619344026813,0.010358767054067712,0.24861040929762507
0.41999999999999993,122,41,97,3917,0.7484662576687117,0.5570776255707762,0.6387434554973822,0.9669619344026813,0.010358767054067712,0.24861040929762507
0.42499999999999993,120,40,99,3918,0.75,0.547945205479452,0.6332453825857519,0.966722528130237,0.01010611419909045,0.2425467407781708
0.42999999999999994,119,39,100,3919,0.7531645569620253,0.54337899543379,0.6312997347480107,0.966722528130237,0.009853461344113188,0.2364830722587165
0.43499999999999994,119,38,100,3920,0.7579617834394905,0.54337899543379,0.6329787234042554,0.9669619344026813,0.009600808489135927,0.23041940373926223
