phase,strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,anomaly_score,smoothing_window,threshold_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,best_precision,best_recall,false_alarm_rate_per_day,auroc_fused_u,auroc_fused_d,auroc_max_d,auroc_max_u,auroc_mean_u,auroc_composite_ud,f1_at_f1opt,f1_at_q90,f1_at_q95,f1_at_q99,prec_at_q95,rec_at_q95,fpr_at_q95,prec_at_q99,rec_at_q99,fpr_at_q99
hyperparam,historical,6,2.0,True,True,domain,fused_u,1,f1_optimal_eval,0.7761,0.7434,0.8062,0.1608,0.2675,0.445,0.1734,0.5845,3.6988,0.7761,0.8131,0.8067,0.7259,0.6259,0.8136,0.2675,0.1156,0.1177,0.1217,0.0628,0.9452,0.7809,0.0651,0.9406,0.7479
hyperparam,historical,6,2.0,False,True,domain,fused_u,1,f1_optimal_eval,0.7259,0.7026,0.761,0.1042,0.0997,0.91,0.0525,1.0,23.9879,0.7259,0.8067,0.8067,0.7259,0.6259,0.8076,0.0997,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,12,0.1,True,True,domain,fused_u,1,f1_optimal_eval,0.8408,0.8071,0.8747,0.4948,0.6205,0.11,0.7076,0.5525,0.3032,0.8408,0.8937,0.8699,0.7078,0.7317,0.8845,0.6205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam,historical,12,0.1,False,True,domain,fused_u,1,f1_optimal_eval,0.7078,0.6692,0.7349,0.0982,0.1874,0.82,0.1098,0.6393,6.8823,0.7078,0.8699,0.8699,0.7078,0.7317,0.8777,0.1874,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,12,0.25,True,True,domain,fused_u,1,f1_optimal_eval,0.8443,0.8098,0.8775,0.5054,0.6287,0.205,0.7733,0.5297,0.2062,0.8443,0.8733,0.8454,0.6972,0.7068,0.866,0.6287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam,historical,12,0.25,False,True,domain,fused_u,1,f1_optimal_eval,0.6972,0.6659,0.7312,0.0944,0.1598,0.965,0.0896,0.7397,9.9869,0.6972,0.8454,0.8454,0.6972,0.7068,0.8492,0.1598,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,12,0.5,True,True,domain,fused_u,1,f1_optimal_eval,0.8442,0.8085,0.8769,0.4863,0.6105,0.305,0.7205,0.5297,0.2729,0.8442,0.8594,0.8302,0.6949,0.6717,0.8555,0.6105,0.4568,0.5721,0.5621,0.5644,0.5799,0.0248,0.7983,0.4338,0.0061
hyperparam,historical,12,0.5,False,True,domain,fused_u,1,f1_optimal_eval,0.6949,0.6643,0.7305,0.0938,0.0998,0.98,0.0525,1.0,23.9515,0.6949,0.8302,0.8302,0.6949,0.6717,0.8304,0.0998,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
hyperparam,historical,12,1.0,True,True,domain,fused_u,1,f1_optimal_eval,0.8216,0.7871,0.8541,0.274,0.4432,0.395,0.3742,0.5434,1.2067,0.8216,0.8331,0.814,0.6949,0.6424,0.8339,0.4432,0.1322,0.1367,0.1413,0.0739,0.9178,0.6367,0.0767,0.895,0.5963
hyperparam,historical,12,1.0,False,True,domain,fused_u,1,f1_optimal_eval,0.6949,0.6643,0.7305,0.0938,0.0997,0.97,0.0525,1.0,23.9757,0.6949,0.814,0.814,0.6949,0.6424,0.8153,0.0997,0.0996,0.0997,0.0997,0.0524,1.0,0.9997,0.0524,1.0,0.9997
