strategy,window_k,decay_lambda,use_fusion,use_decay,physics_bounds_mode,auroc,auroc_ci_lo,auroc_ci_hi,auprc,best_f1,best_threshold,false_alarm_rate_per_day
physics,24,0.5,True,True,domain,0.7755,0.7263,0.8205,0.4763,0.6044,0.3,0.3941
physics,24,0.5,False,True,domain,0.6031,0.5607,0.6466,0.0753,0.0998,0.95,23.9636
physics,24,1.0,True,True,domain,0.7623,0.7142,0.8054,0.2887,0.4516,0.39,1.2916
physics,24,1.0,False,True,domain,0.6031,0.5607,0.6465,0.0753,0.0997,0.91,23.9818
physics,24,2.0,True,True,domain,0.7299,0.6842,0.7724,0.1687,0.2748,0.44,3.8868
physics,24,2.0,False,True,domain,0.6854,0.4644,0.5415,0.0874,0.0997,0.91,23.9879
composite,1,0.1,True,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,0.1,False,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,0.25,True,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,0.25,False,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,0.5,True,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,0.5,False,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,1.0,True,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,1.0,False,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,2.0,True,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,1,2.0,False,True,domain,0.6855,0.6474,0.7174,0.1239,0.1947,0.53,1.5402
composite,3,0.1,True,True,domain,0.7597,0.7303,0.7881,0.2469,0.254,0.31,0.0061
composite,3,0.1,False,True,domain,0.6807,0.6429,0.712,0.1823,0.1874,0.61,1.7221
composite,3,0.25,True,True,domain,0.7412,0.7089,0.7707,0.2554,0.2619,0.35,0.0
composite,3,0.25,False,True,domain,0.6871,0.6497,0.7201,0.1108,0.1751,0.71,1.9586
composite,3,0.5,True,True,domain,0.7273,0.6928,0.7585,0.2549,0.2619,0.4,0.0
composite,3,0.5,False,True,domain,0.6907,0.6507,0.7201,0.1524,0.1659,0.81,3.4987
composite,3,1.0,True,True,domain,0.7019,0.6654,0.7345,0.2674,0.2619,0.46,0.0
composite,3,1.0,False,True,domain,0.6907,0.6507,0.7201,0.1524,0.1636,0.93,3.5715
composite,3,2.0,True,True,domain,0.6927,0.6558,0.7268,0.2741,0.2752,0.51,0.2304
composite,3,2.0,False,True,domain,0.6907,0.6507,0.7201,0.1524,0.0997,0.91,23.9879
composite,6,0.1,True,True,domain,0.7876,0.7556,0.8188,0.2192,0.2808,0.16,2.6438
composite,6,0.1,False,True,domain,0.6713,0.6354,0.7044,0.1141,0.165,0.71,1.9768
composite,6,0.25,True,True,domain,0.7694,0.7383,0.8,0.2267,0.2606,0.24,1.7888
composite,6,0.25,False,True,domain,0.6841,0.6477,0.7144,0.1175,0.1657,0.85,4.1779
composite,6,0.5,True,True,domain,0.7387,0.7052,0.7701,0.2467,0.2462,0.31,2.8196
composite,6,0.5,False,True,domain,0.6858,0.6505,0.7152,0.1177,0.1366,0.95,14.0556
composite,6,1.0,True,True,domain,0.7048,0.6688,0.7378,0.2637,0.2598,0.45,0.0121
composite,6,1.0,False,True,domain,0.6858,0.6505,0.7152,0.1177,0.0997,0.91,23.9818
composite,6,2.0,True,True,domain,0.693,0.656,0.7272,0.2735,0.2761,0.51,0.2244
composite,6,2.0,False,True,domain,0.6858,0.6505,0.7152,0.1177,0.0997,0.91,23.9879
